poi_cbg,naics_code,density
360050002001,611630,0.026252983293556086
360050002001,812112,0.02768729641693811
360050002001,813110,0.00418092836125623
360050002002,453991,0.0195712954333644
360050002002,811111,0.0012951503813498346
360050002002,813110,0.003517316017316017
360050002003,624410,0.0024154589371980675
360050004001,722511,0.05275498241500586
360050004002,611110,0.00027354361605795357
360050004002,621610,0.012021857923497269
360050004002,624410,0.00016035315424086933
360050004002,722410,0.022929936305732482
360050004002,722511,0.02752423875170429
360050004002,813110,0.0010030090270812435
360050004003,445110,0.025902668759811617
360050004003,522110,0.003537735849056604
360050004003,812199,0.006345177664974618
360050016001,446110,0.010197186559370968
360050016001,621111,0.003551136363636363
360050016001,624410,0.001732409381663113
360050016002,445110,0.020255063765941488
360050016002,611110,0.0012832263978001836
360050016002,713940,0.09186906019007393
360050016004,491110,0.006517874777799724
360050016004,611110,4.8790374034513565e-05
360050016004,621310,0.009671179883945842
360050016004,623110,0.0015085800490288515
360050016004,624410,0.0006465517241379309
360050016004,813110,0.0002780094523213789
360050019001,3231,0.002347417840375587
360050019001,6233,0.0010382059800664453
360050019001,444130,0.006084128815692856
360050019001,447110,0.0043164023288496285
360050019001,512240,0.0004791566842357451
360050019001,722410,0.030326594090202174
360050019001,722511,0.005536159718254892
360050019001,722513,0.02755905511811024
360050019001,722515,0.03732167259434782
360050019001,811192,0.002279758996906041
360050019002,444130,0.00028373642068212285
360050019002,713990,0.0006834491399931655
360050019002,811490,8.246402506906362e-05
360050019003,311811,0.008141907528227585
360050019003,312120,0.0009287514926363276
360050019003,312140,0.0011204615347939065
360050019003,424210,0.0008343862493146113
360050019003,443142,0.002446839498980484
360050019003,444110,0.0010115058793779238
360050019003,446110,0.020071220459695692
360050019003,453110,0.010177038057881905
360050019003,722320,0.0031647000316470004
360050019003,722511,0.05691429926126341
360050019003,811111,0.010101010101010102
360050019004,492110,0.0009227512461665113
360050019004,523930,0.000220556906188125
360050019004,531130,0.00022327409127444848
360050020001,445110,0.0056
360050020001,446110,0.00673870120148792
360050020001,519120,0.001196692776327241
360050020001,722511,0.025999233911911335
