,cdi,cluster,cdi_per_capita,week,date_range_start
0,,0,0.04118784269201793,2,2020-01-06 00:00:00-05:00
1,,1,0.03532715572292169,2,2020-01-06 00:00:00-05:00
2,,2,0.043061516638547466,2,2020-01-06 00:00:00-05:00
3,,3,0.03928910626743579,2,2020-01-06 00:00:00-05:00
4,,0,0.041166323276784586,3,2020-01-13 00:00:00-05:00
5,,1,0.03441324527243494,3,2020-01-13 00:00:00-05:00
6,,2,0.04323493793110332,3,2020-01-13 00:00:00-05:00
7,,3,0.03830253327214347,3,2020-01-13 00:00:00-05:00
8,-14190.028500751854,0,0.042382995801530474,4,2020-01-20 00:00:00-05:00
9,-8670.266822409714,1,0.034391621207340996,4,2020-01-20 00:00:00-05:00
10,-13569.373376681702,2,0.04413727936145088,4,2020-01-20 00:00:00-05:00
11,-9667.938291764454,3,0.03775048550873873,4,2020-01-20 00:00:00-05:00
12,-10803.64522172667,0,0.04179838054469287,5,2020-01-27 00:00:00-05:00
13,-5167.573153069679,1,0.033401757862016775,5,2020-01-27 00:00:00-05:00
14,-8222.17597817845,2,0.043867936262009445,5,2020-01-27 00:00:00-05:00
15,-3731.6352218948305,3,0.03716791140608726,5,2020-01-27 00:00:00-05:00
16,804.3657932748247,0,0.04066287250417948,6,2020-02-03 00:00:00-05:00
17,1220.2484958740242,1,0.032038814108805776,6,2020-02-03 00:00:00-05:00
18,9423.720490997322,2,0.04339656031675493,6,2020-02-03 00:00:00-05:00
19,8350.273128635992,3,0.03588400662773007,6,2020-02-03 00:00:00-05:00
20,3146.8994289724214,0,0.03856092709147565,7,2020-02-10 00:00:00-05:00
21,810.6735940677099,1,0.029948862964920754,7,2020-02-10 00:00:00-05:00
22,12780.245775845717,2,0.0413954257373216,7,2020-02-10 00:00:00-05:00
23,9992.838224852836,3,0.0341095956958756,7,2020-02-10 00:00:00-05:00
24,125.45230958377215,0,0.038068413557947725,8,2020-02-17 00:00:00-05:00
25,-6887.298949048272,1,0.028390811903925398,8,2020-02-17 00:00:00-05:00
26,9099.086876913992,2,0.04117918433538082,8,2020-02-17 00:00:00-05:00
27,3751.807903553563,3,0.03328098952910542,8,2020-02-17 00:00:00-05:00
28,-5551.77304109071,0,0.033659941692862134,9,2020-02-24 00:00:00-05:00
29,-18587.137562531367,1,0.024167328386808302,9,2020-02-24 00:00:00-05:00
30,-848.7576787457947,2,0.0364595567819002,9,2020-02-24 00:00:00-05:00
31,-9553.1958733215,3,0.02924907025421441,9,2020-02-24 00:00:00-05:00
32,-5638.906940797635,0,0.02943100103955896,10,2020-03-02 00:00:00-05:00
33,-26721.401516548613,1,0.0203645366359455,10,2020-03-02 00:00:00-05:00
34,-2496.7664474633348,2,0.03186320806320071,10,2020-03-02 00:00:00-05:00
35,-16837.98958254166,3,0.025138832904401325,10,2020-03-02 00:00:00-05:00
36,-13045.555235687243,0,0.024835421349365294,11,2020-03-09 00:00:00-04:00
37,-37074.83047993981,1,0.01661392716982975,11,2020-03-09 00:00:00-04:00
38,-13386.050367404234,2,0.02705107293217333,11,2020-03-09 00:00:00-04:00
39,-30720.94217536715,3,0.0207772112506085,11,2020-03-09 00:00:00-04:00
40,-21401.108634041844,0,0.020831265004593497,12,2020-03-16 00:00:00-04:00
41,-47774.11496847916,1,0.013128774494028814,12,2020-03-16 00:00:00-04:00
42,-25776.146280901252,2,0.02265711319900491,12,2020-03-16 00:00:00-04:00
43,-45545.4855042243,3,0.01653893052055307,12,2020-03-16 00:00:00-04:00
44,-31870.857546767533,0,0.015398804073615446,13,2020-03-23 00:00:00-04:00
45,-59936.90441804424,1,0.008834215476876177,13,2020-03-23 00:00:00-04:00
46,-42545.63502175909,2,0.016204822264679383,13,2020-03-23 00:00:00-04:00
47,-62179.705489301625,3,0.011933955437040481,13,2020-03-23 00:00:00-04:00
48,-40348.913079385835,0,0.011532466132029897,14,2020-03-30 00:00:00-04:00
49,-70565.03080990956,1,0.005737259814068173,14,2020-03-30 00:00:00-04:00
